t_max,y_ball,y_line,t_pretrial,t_windup,t_feedback,timing_tol,t_prep,ball_color,block_key,choice,t_choice,correct_choice,good_timing,id,datetime,block
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.613152899999983,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5995818999999983,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.528492499999993,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.46067379999998936,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.42977719999998387,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.4016886000000227,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5942566999999827,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.15269969999999378,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.47638710000000517,1,1,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.2899666000000082,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.583879300000001,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,-1,-1,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5571283000000108,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5476729000000035,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.36424619999999097,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5896951999999885,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.3012486999999965,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.1401144000000102,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.5786312000000123,0,0,116,191121_162108,1
0.5,0.4,-0.3,0.5,0.1,0.5,0.03,0.5,0,1,0,0.44433030000001283,0,0,116,191121_162108,1
